index,roll,pitch,yaw,accx,accy,accz,gyrox,gyroy,gyroz
180,81.8117,0.664312,-73.2555,-0.0577292,10.02,2.02663,-0.0123025,0.0521054,-0.0210203
181,81.7342,0.687933,-73.1981,-0.00733994,9.97678,1.9858,-0.139069,0.100042,-0.051913
182,81.6064,0.723082,-73.1455,-0.00261563,9.80877,1.83038,-0.228551,0.100042,-0.0742835
183,81.4512,0.774693,-73.1024,0.150592,9.85079,1.52246,-0.272227,0.105369,-0.10198
184,81.2891,0.84092,-73.0625,0.145632,9.84086,1.38469,-0.291402,0.103238,-0.128612
185,81.1211,0.91121,-73.0317,0.122504,9.8206,1.25431,-0.316968,0.0798023,-0.12009
186,80.9533,0.979442,-73.0095,0.0554654,9.73817,1.14757,-0.314838,0.0638233,-0.115829
187,80.7804,1.04015,-73.0049,-0.0151309,9.6479,1.47766,-0.32549,0.0201475,-0.0987846
188,80.5914,1.09197,-73.0245,-0.0938882,9.68203,1.3647,-0.346796,-0.0203326,-0.0902625
189,80.3843,1.13243,-73.05,-0.0777041,9.56393,1.61374,-0.385145,-0.034181,-0.0732183
190,80.1185,1.15587,-73.0846,-0.146338,9.64152,1.77107,-0.445865,-0.0586821,-0.0348688
191,79.854,1.16048,-73.1228,-0.112425,9.60035,1.79209,-0.471431,-0.0650737,-0.0178245
192,79.5968,1.15488,-73.1548,-0.130646,9.57201,1.7776,-0.510846,-0.0672042,0.00348076
193,79.2514,1.1519,-73.1789,-0.315832,9.41879,1.72797,-0.585415,-0.0171368,0.0120029
194,78.9677,1.15208,-73.1829,-0.343014,9.29311,1.96843,-0.632286,-0.0224631,-0.00930242
195,78.4998,1.16392,-73.2027,-0.48716,9.33781,1.97419,-0.704724,-0.0458989,-0.0348688
196,78.0791,1.19671,-73.209,-0.514769,9.30208,2.0377,-0.750531,-0.0011578,-0.0604351
197,77.719,1.24228,-73.2055,-0.529571,9.32178,2.16854,-0.802729,0.0137559,-0.0934583
198,77.072,1.32558,-73.2031,-0.384637,9.56705,2.53658,-0.883689,0.00310326,-0.10198
199,76.5422,1.3808,-73.2089,-0.300069,9.67948,2.37325,-0.920973,0.0137559,-0.104111
200,76.0703,1.43112,-73.2028,-0.184203,9.56486,2.07004,-0.92843,0.0489096,-0.0785446
201,75.5051,1.4864,-73.1855,-0.150012,9.55638,2.08405,-0.914581,0.0553012,-0.0689572
202,75.007,1.52906,-73.1801,-0.14843,9.45646,2.40954,-0.868775,0.0244085,-0.0732183
203,74.5176,1.57482,-73.1854,-0.247754,9.51356,2.52359,-0.864514,0.0329307,-0.0838709
204,73.9796,1.65192,-73.1639,-0.283905,9.60261,2.70961,-0.861318,0.105369,-0.117959
205,73.4803,1.7525,-73.1094,-0.356098,9.66784,2.82883,-0.88795,0.167154,-0.153113
206,72.9314,1.87781,-73.0236,-0.43665,9.6178,3.47837,-0.998737,0.217221,-0.171223
207,72.342,1.98006,-72.9524,-0.299537,9.61043,3.96421,-1.16066,0.147979,-0.141395
208,71.5413,2.07392,-72.9053,-0.188294,9.45766,3.3798,-1.27784,0.116021,-0.128612
209,70.7894,2.1692,-72.8611,-0.271595,9.31655,3.15862,-1.33536,0.133066,-0.139265
210,70.1114,2.25972,-72.834,-0.200865,9.28774,3.02338,-1.33856,0.0936507,-0.155244
211,69.294,2.36983,-72.8278,-0.32848,9.34307,2.97826,-1.31406,0.0616928,-0.156309
212,68.6412,2.46244,-72.8487,-0.487804,9.26162,2.92162,-1.29595,0.022278,-0.179745
213,67.8705,2.59065,-72.8909,-0.646324,9.13561,3.03501,-1.25866,0.000972733,-0.206376
214,67.0878,2.71966,-72.9435,-0.4757,9.31253,4.09463,-1.27784,-0.0160715,-0.202115
215,66.2816,2.78725,-73.0081,-0.157511,9.53944,5.38662,-1.4078,-0.0853137,-0.141395
216,65.4084,2.80238,-73.0752,0.000605244,9.32401,4.69783,-1.48876,-0.0458989,-0.0785446
217,64.5571,2.83469,-73.0718,-0.111652,8.92722,3.98383,-1.47491,0.137327,-0.0583046
218,63.82,2.89771,-73.0111,-0.324228,8.91705,3.83051,-1.46319,0.188459,-0.0540435
219,62.9526,2.96509,-72.9615,-0.435993,8.89232,3.73021,-1.39928,0.0808676,-0.0572393
220,62.1366,3.01082,-72.9783,-0.548254,8.68304,3.85688,-1.31512,-0.0213978,-0.0742835
221,61.5009,3.04714,-73.0198,-0.680276,8.42971,3.86928,-1.27038,-0.0427031,-0.0913278
222,60.7323,3.10923,-73.0687,-0.693561,8.21306,4.0708,-1.26931,-0.0011578,-0.113698
223,60.077,3.1709,-73.0968,-0.694768,8.13871,4.70104,-1.3034,0.002038,-0.117959
224,59.2836,3.22603,-73.1402,-0.74903,8.23998,5.39129,-1.40567,-0.0842484,-0.105176
225,58.3495,3.2479,-73.2236,-0.728161,8.33047,5.31196,-1.48876,-0.125794,-0.0838709
226,57.7276,3.24338,-73.2829,-0.710208,8.29922,5.27706,-1.56226,-0.144968,-0.0423256
227,56.5199,3.20296,-73.375,-0.527389,8.45707,5.48082,-1.66133,-0.12899,0.00880708
228,55.4658,3.1356,-73.4178,-0.527566,8.40658,5.42606,-1.69968,-0.106619,0.0801798
229,54.594,3.0756,-73.4194,-0.651114,8.06878,5.87998,-1.70501,-0.038442,0.113203
230,53.6386,2.99767,-73.4107,-0.587648,8.06792,5.34446,-1.69968,-0.0650737,0.127051
231,52.874,2.93277,-73.4001,-0.605122,7.68193,5.35804,-1.69435,-0.0980968,0.14303
232,51.6243,2.77194,-73.4209,-0.372588,7.31943,6.14449,-1.66027,-0.214211,0.165401
233,50.5593,2.58082,-73.4769,-0.136634,7.43094,6.52488,-1.6592,-0.261082,0.176054
234,49.5881,2.39361,-73.5178,-0.119306,7.49926,6.84964,-1.67731,-0.23019,0.200555
235,48.6983,2.2304,-73.53,-0.0108663,7.43755,7.17047,-1.69862,-0.177992,0.22186
236,47.605,2.04814,-73.5134,-0.0353169,7.43692,7.42091,-1.70288,-0.12899,0.212273
237,46.6173,1.90843,-73.4771,-0.186958,7.2626,7.06075,-1.69329,-0.0725305,0.198424
238,45.5593,1.8019,-73.4081,-0.316971,6.88033,6.76399,-1.65707,-0.0118104,0.178184
239,44.6253,1.7379,-73.3396,-0.390215,6.57901,6.89129,-1.59848,-0.00541885,0.147291
240,43.7223,1.67501,-73.2938,-0.445384,6.60808,7.20578,-1.53563,-0.054421,0.116399
241,42.9249,1.61648,-73.2724,-0.443275,6.48919,7.35711,-1.5335,-0.0725305,0.107877
242,41.9346,1.54392,-73.2535,-0.449629,6.40012,7.42176,-1.58463,-0.0863789,0.0982893
243,40.9986,1.46384,-73.2467,-0.205269,6.26559,7.93973,-1.61766,-0.108749,0.105746
244,39.9555,1.36104,-73.2425,-0.243657,6.25362,8.03618,-1.62937,-0.121533,0.108942
245,39.0116,1.27644,-73.2237,-0.171516,6.12287,8.2663,-1.60807,-0.0831831,0.114268
246,38.0835,1.20593,-73.1905,-0.259089,6.04192,8.33565,-1.57718,-0.0427031,0.107877
247,37.44,1.17154,-73.1613,-0.259816,5.8373,8.58243,-1.5612,0.00523379,0.0982893
248,36.2473,1.15342,-73.0892,-0.361818,5.77745,8.22252,-1.58889,0.0798023,0.0759187
249,35.5018,1.17848,-73.0276,-0.521731,5.77494,8.00879,-1.67305,0.119217,0.0823103
250,34.3345,1.21936,-72.9329,-0.357655,5.51533,8.0247,-1.73377,0.0872591,0.0887019
251,33.3247,1.22638,-72.8735,-0.373161,5.22818,8.19308,-1.77212,0.0212128,0.0727229
252,32.1926,1.20463,-72.8326,-0.345786,5.0905,8.31133,-1.78277,-0.0309852,0.0684619
253,31.1775,1.16727,-72.8192,-0.391193,5.14005,8.47722,-1.74975,-0.0704,0.0428955
254,30.2864,1.13217,-72.8217,-0.415597,4.84262,8.59125,-1.69649,-0.0799874,0.0151987
255,29.2267,1.11846,-72.8417,-0.419492,4.40108,8.71843,-1.61766,-0.0224631,-0.0529783
256,28.386,1.15349,-72.8678,-0.429109,4.22566,8.98729,-1.57398,0.0457138,-0.104111
