index,roll,pitch,yaw,accx,accy,accz,gyrox,gyroy,gyroz
129,-9.15134,12.356,-158.43,-2.16873,-1.56168,9.74408,0.000480625,0.00736432,-0.0039761
130,-9.15116,12.3562,-158.43,-2.15461,-1.60748,9.73812,-0.00378043,-0.00328832,0.00241549
131,-9.15171,12.3568,-158.43,-2.1778,-1.58117,9.71504,-0.00271517,-0.00328832,-0.00504136
132,-9.15235,12.3561,-158.43,-2.14178,-1.57533,9.75271,-0.0048457,-0.00541885,-0.0039761
133,-9.15186,12.3551,-158.43,-2.11308,-1.5963,9.76125,-0.00058464,-0.00328832,-0.00184557
134,-9.15124,12.3556,-158.43,-2.13821,-1.55398,9.80539,-0.00058464,-0.0011578,0.00348076
135,-9.15108,12.356,-158.43,-2.15775,-1.54389,9.74227,-0.00591096,0.0105601,-0.00291083
136,-9.15081,12.3552,-158.431,-2.13824,-1.57556,9.77079,-0.00058464,0.00523379,0.00135023
137,-9.14965,12.3554,-158.431,-2.17415,-1.55612,9.75507,-0.00058464,0.000972733,0.000284962
138,-9.15017,12.3547,-158.431,-2.15478,-1.62208,9.75251,0.00154589,-0.00648412,0.00454602
139,-9.14953,12.3543,-158.431,-2.1649,-1.54176,9.72787,0.00154589,0.00736432,-0.000780302
140,-9.15079,12.3541,-158.431,-2.13294,-1.59385,9.76514,-0.00271517,0.00416853,0.00135023
141,-9.15161,12.3546,-158.432,-2.22359,-1.62546,9.79322,-0.00058464,0.000972733,0.00454602
142,-9.15275,12.3545,-158.432,-2.16382,-1.62537,9.74716,0.000480625,-0.00328832,-0.000780302
143,-9.15335,12.3534,-158.432,-2.16149,-1.53319,9.79678,0.00154589,-0.00435359,-0.0039761
144,-9.15322,12.3543,-158.432,-2.18212,-1.65203,9.75624,-0.0048457,0.00736432,-0.0039761
145,-9.15412,12.3546,-158.432,-2.12205,-1.57438,9.78872,-0.00378043,-0.00328832,0.00241549
146,-9.15464,12.3545,-158.432,-2.17251,-1.60127,9.70757,-0.00058464,-0.0011578,-0.00184557
147,-9.1551,12.3554,-158.433,-2.16007,-1.56968,9.82186,-0.0016499,0.0105601,0.00454602
148,-9.15609,12.3555,-158.432,-2.14012,-1.59713,9.74708,0.00474168,0.002038,0.000284962
149,-9.15568,12.356,-158.431,-2.1799,-1.57795,9.79847,-0.00271517,0.000972733,0.00774181
150,-9.15686,12.3551,-158.431,-2.14026,-1.59194,9.79244,-0.00058464,0.00416853,0.00241549
151,-9.15704,12.3547,-158.431,-2.18863,-1.56287,9.74976,0.00154589,-0.0011578,0.00561128
152,-9.15603,12.3546,-158.431,-2.10932,-1.55136,9.8123,-0.00378043,0.000972733,-0.000780302
153,-9.15784,12.3552,-158.431,-2.14917,-1.60762,9.7308,-0.00058464,0.00736432,0.00348076
154,-9.15645,12.3555,-158.431,-2.1941,-1.55559,9.77888,-0.00271517,-0.0011578,0.000284962
155,-9.1551,12.3554,-158.431,-2.12234,-1.61069,9.79207,-0.00058464,0.00416853,0.00348076
156,-9.15444,12.3562,-158.431,-2.1977,-1.56622,9.75528,0.00261115,-0.0011578,-0.0039761
157,-9.15469,12.3562,-158.431,-2.1346,-1.56128,9.79079,0.00580695,0.00310326,-0.000780302
158,-9.15561,12.3567,-158.431,-2.19057,-1.563,9.78422,0.00580695,0.00523379,-0.0039761
159,-9.15563,12.3566,-158.431,-2.14398,-1.60634,9.79237,0.00261115,-0.00328832,0.00241549
160,-9.15632,12.3567,-158.432,-2.16533,-1.57287,9.77658,-0.00058464,0.000972733,-0.00717189
161,-9.15528,12.3561,-158.431,-2.13118,-1.58499,9.79238,0.00793748,0.00629906,0.00667655
162,-9.15436,12.3559,-158.431,-2.1524,-1.52801,9.78945,-0.00697623,-0.0011578,-0.000780302
163,-9.15457,12.3571,-158.432,-2.17779,-1.5704,9.73506,-0.0048457,-0.00648412,0.00135023
164,-9.15479,12.3567,-158.431,-2.13792,-1.54998,9.73835,0.00687221,0.002038,0.00454602
165,-9.15508,12.3561,-158.432,-2.13112,-1.57594,9.79607,0.000480625,0.000972733,0.000284962
166,-9.15511,12.3555,-158.432,-2.09261,-1.54227,9.71247,-0.0016499,0.00523379,0.00241549
167,-9.15504,12.356,-158.433,-2.15663,-1.60235,9.80344,0.000480625,-0.00648412,-0.00823715
168,-9.15642,12.3557,-158.433,-2.17853,-1.63245,9.80167,-0.00058464,-0.00328832,0.00241549
169,-9.15619,12.356,-158.433,-2.18712,-1.58129,9.78948,-0.00058464,0.000972733,0.00667655
170,-9.15621,12.3555,-158.434,-2.11818,-1.5526,9.76527,-0.00378043,-0.0107452,-0.0103677
171,-9.15563,12.3547,-158.434,-2.15133,-1.6278,9.78142,-0.0048457,0.0105601,0.00667655
172,-9.15656,12.3548,-158.434,-2.18373,-1.59788,9.81468,0.00154589,0.002038,0.000284962
173,-9.15537,12.3544,-158.435,-2.16884,-1.53672,9.82222,-0.00591096,0.00310326,0.00241549
174,-9.15405,12.356,-158.434,-2.17962,-1.55422,9.77146,0.00474168,0.000972733,0.00454602
175,-9.15376,12.3567,-158.434,-2.15782,-1.53861,9.77131,-0.00058464,-0.0011578,-0.0039761
176,-9.1536,12.3558,-158.435,-2.18697,-1.5739,9.76597,0.000480625,0.00416853,0.00135023
177,-9.15261,12.3555,-158.435,-2.15818,-1.58397,9.77278,-0.00271517,-0.00328832,0.000284962
178,-9.15303,12.3553,-158.435,-2.16665,-1.52905,9.73705,0.000480625,-0.00435359,-0.00291083
179,-9.15382,12.3559,-158.435,-2.18351,-1.59398,9.76577,-0.00058464,-0.00541885,0.00241549
180,-9.15448,12.3565,-158.435,-2.18903,-1.58856,9.80213,-0.00058464,0.00416853,0.00135023
181,-9.15426,12.3576,-158.435,-2.14195,-1.56839,9.80895,0.00474168,-0.0011578,-0.0039761
182,-9.15344,12.3583,-158.436,-2.24464,-1.53416,9.81593,-0.0016499,0.0105601,-0.00184557
183,-9.1525,12.3587,-158.436,-2.19226,-1.58431,9.71339,-0.0016499,0.00736432,0.000284962
184,-9.15219,12.359,-158.436,-2.11638,-1.53832,9.79436,0.00474168,0.000972733,0.000284962
185,-9.15243,12.3596,-158.436,-2.17975,-1.57774,9.76041,-0.00058464,-0.00328832,0.00135023
186,-9.15124,12.3585,-158.436,-2.14539,-1.58418,9.73456,-0.00591096,0.00310326,0.00135023
187,-9.15195,12.3578,-158.435,-2.15136,-1.62606,9.79413,0.00367642,-0.00435359,0.00135023
188,-9.15092,12.3579,-158.435,-2.1707,-1.57441,9.76032,0.00261115,0.00416853,0.000284962
189,-9.15119,12.3591,-158.435,-2.15969,-1.53505,9.79311,-0.00058464,-0.00435359,-0.00291083
190,-9.15052,12.3587,-158.435,-2.17368,-1.48727,9.77009,-0.0016499,-0.00328832,-0.000780302
191,-9.15006,12.3582,-158.435,-2.19935,-1.55517,9.73545,-0.0048457,-0.00328832,0.000284962
192,-9.14891,12.3583,-158.436,-2.1546,-1.5662,9.81638,0.00580695,0.00310326,0.00348076
193,-9.14882,12.3584,-158.437,-2.1866,-1.53211,9.75359,-0.00058464,-0.00648412,0.00561128
194,-9.14878,12.3598,-158.436,-2.17043,-1.53994,9.75877,-0.00058464,0.002038,0.00348076
195,-9.14835,12.3591,-158.436,-2.15235,-1.5423,9.74946,-0.00058464,0.000972733,-0.0039761
196,-9.14763,12.3595,-158.435,-2.19447,-1.59739,9.79126,-0.0048457,0.0105601,0.0109376
197,-9.14739,12.3598,-158.436,-2.22077,-1.54872,9.68501,-0.0048457,0.002038,0.00454602
198,-9.14689,12.3602,-158.436,-2.16776,-1.62932,9.82512,0.00367642,0.00523379,0.00454602
199,-9.14694,12.3581,-158.436,-2.13258,-1.53592,9.78733,0.00580695,0.00523379,0.00454602
200,-9.14699,12.3575,-158.436,-2.1565,-1.61112,9.7508,-0.00697623,0.00523379,0.00348076
201,-9.14756,12.357,-158.436,-2.14383,-1.58997,9.78525,0.00261115,-0.0011578,0.00241549
202,-9.14747,12.3561,-158.435,-2.19803,-1.61334,9.74586,0.00261115,0.002038,0.00348076
203,-9.14804,12.356,-158.435,-2.12761,-1.59953,9.77591,-0.0048457,0.00416853,-0.00184557
204,-9.14896,12.356,-158.435,-2.18701,-1.56858,9.78776,-0.00058464,0.000972733,-0.00291083
205,-9.14975,12.3559,-158.435,-2.13881,-1.63378,9.80116,-0.00271517,0.000972733,-0.000780302
206,-9.15024,12.3565,-158.436,-2.23251,-1.5945,9.82619,0.00154589,-0.0118104,-0.0039761
207,-9.14988,12.3571,-158.436,-2.15826,-1.57153,9.81819,-0.0048457,-0.00328832,0.00667655
208,-9.14891,12.3573,-158.435,-2.18534,-1.60113,9.75849,-0.00591096,-0.0011578,-0.00504136
209,-9.14963,12.3574,-158.435,-2.12002,-1.57772,9.72523,0.00580695,-0.0107452,0.00241549
210,-9.14961,12.356,-158.434,-2.15262,-1.57318,9.75648,0.00474168,-0.00328832,-0.00291083
211,-9.1488,12.3548,-158.433,-2.14919,-1.57356,9.80356,0.00154589,0.00523379,0.00241549
212,-9.14847,12.3544,-158.433,-2.18316,-1.55041,9.76066,0.000480625,0.00310326,0.00135023
213,-9.1485,12.3539,-158.433,-2.17808,-1.58876,9.77299,0.00154589,0.00416853,-0.00184557
214,-9.14974,12.3548,-158.433,-2.15642,-1.59127,9.76908,-0.00058464,0.00416853,0.00135023
215,-9.14928,12.3545,-158.433,-2.1758,-1.52354,9.7789,-0.00058464,0.00523379,-0.00184557
216,-9.14889,12.3534,-158.433,-2.12038,-1.59257,9.78675,-0.00058464,-0.00328832,-0.0039761
217,-9.14796,12.3545,-158.434,-2.24297,-1.57387,9.77029,-0.00378043,0.00523379,-0.00504136
218,-9.14785,12.3541,-158.434,-2.12742,-1.58131,9.76154,0.00261115,-0.0011578,-0.00823715
219,-9.14726,12.3544,-158.434,-2.18699,-1.59546,9.72774,-0.00378043,0.00416853,0.00241549
